id,area,screen_or_action,audience,existing_anchor,required_change,phase_batch,rules,checks,status,evidence
UI21,Targets,Monthly requirements editor,Admin,Targets; /api/targets; target service,Required distinct from achieved; locks/version checks,04A,A06,AC26 AC27,Not started,
UI22,Targets,Weekly achieved cumulative counts; save/validation/discard,Admin,Targets; /api/targets,"Null vs zero, both fields, update provenance, no duplicate counting",04A,A06,AC26 AC27,Not started,
UI23,Targets / Models,Verification and historical outcome-only evidence,Admin,verify/unverify API; target models,Guarantee evidence; unknown counts stay unknown; approved snapshot protections,04B,F06 H02,AC28 AC29,Not started,
UI24,Targets,Current progress and target history,Model,portal target serialization + self endpoint,"Read-only, requirements/outcome/history, truthful no-record state",04B,A06 M01,AC28 AC30,Not started,
UI25,Payments,"Month list, fund request total, filters, each model due",Admin,Payments/Payroll; payments/payroll APIs,Distinguish forecast/approved/outstanding; include inactive obligations,06A,A07 F14 F15,AC31 AC32,Not started,
UI26,Payments,Review and approve one model/month,Admin,PayrollApprove; approve_month,"Pending-inclusive service, source-version check, immutable terms/allocations",05B/06A,F02 F06 F07,AC33 AC34 AC35,Not started,
UI27,Payments / Models,Full payout destination and copy/Open InstaPay,Admin,PaymentRecord; payout reveal API,Use submitted link and all supported method fields; D06,06A,A08,AC36 AC37,Not started,
UI28,Payments,"External transfer record, amount/date/reference/proof",Admin,PaymentRecord; payments/proof service,Correct statement and destination snapshot; idempotent retries,06A,F08 F14,AC38 AC39 AC40,Not started,
UI29,Payments,Transfer history/detail/proof and existing reconciliation,Admin,AffiliatePayments; PaymentReconcile; payments_state,Preserve actual transactions and adjustments; no reopen,06A,F07 F08 F14,AC40 AC41,Not started,
UI30,Payments / Home,"Late failure detail, absorb or choose carry",Admin,New correction extension to existing payroll/adjustments,Source guarantee-aware difference; decision distinct from dismissal,05C,F09 F10 F11,AC42 AC43 AC44,Not started,
UI31,Payments,"Carried deductions, no-transfer month, remaining balance",Admin,New persistent correction allocations,"Shared capacity, cross-year remainder, frozen allocation; D04/D09",05C/06A,F11 F12 F14,AC44 AC45 AC46 AC47,Not started,
UI32,Models,Profile Payments and term editor link,Admin,AffiliatePayments/Compensation + shared profile,"Local month, real history, destination, terms; preserve navigation",06A,A03 A08 H04,AC07 AC36,Not started,
UI33,Home,"Earnings headline, sales, uses and month selection",Model,MyMonth; /api/me/months/earnings,"Real monthly terms, frozen/current facts, eligible zero months",07A,H01 M01 F13 F14,AC12 AC33 AC48,Not started,
UI34,Home,Earnings explanation and earlier correction details,Model,MyMonth/MyPolicy; new finance payload,"Source sales updates, old approval unchanged, destination deduction separate",07A,F10 F13 F14,AC43 AC48,Not started,
UI35,Home / Performance,"Year graph, sales/uses, selected point/period comparison",Both,MyYear; portal/year and program analytics,"Finite charts, eligible history, clear partial-period labels",07A/07B,M01 F13,AC49 AC50,Not started,
UI36,Orders,"Month orders, Delivered/Pending/Failed filters, expandable products",Model,MyOrders; /api/me/earnings currently includes orders,"Paginated self-owned orders, counted/struck unavailable figures, no customer PII",07A,F01 F02 F03,AC25 AC51 AC52,Not started,
UI37,Orders,"All attributed orders, lookup/detail and related record links",Admin secondary,Orders; /api/orders,Retain support inspection; complete pagination; no top-level extra needed,07B,A04 S07,AC51,Not started,
UI38,Ranking,Current rank and peers uses,Model,New ranking service/API,Server sorts by sales; only allowed peer data; D03,07B,M02 F15,AC25 AC53,Not started,
UI39,Home,Program sales/payout breakdown/active models/top three,Admin,Overview; earnings/attention + new summary API,Same finance source; no fake active-count/house payout,07B,A01 F15,AC31 AC32 AC53,Not started,
UI40,Home / Models,Content progress review and profile Performance,Admin,Overview/AffiliateDetail/Targets + summary API,Neutral progress vs missing records; threshold D08,07B,A02 A03,AC30 AC54,Not started,
UI41,You,Personal details and optional measurements,Model,MyDetails; self profile extensions,Validated saved data; measurements not admin-editable; D07,02B,A05 M03,AC04 AC08,Not started,
UI42,You,"Payout method edit, exact InstaPay link, instructional graphic",Model,MyPayout; payouts/self API; assets/instapay-link.png,"Current password, permitted providers, save/cancel, no URL fabrication",02B/06B,A08 M03,AC36 AC37 AC55,Not started,
UI43,You,Payment history and receipt; calculation for that payment,Model,MyPayments; /api/me/payments and proof,"Self-owned genuine receipts, source context and immutable destination",06B,H03 M04,AC13 AC40 AC41,Not started,
UI44,You,Email notifications and dark/light preference,Model,notification_prefs and lib/theme,Persist mapped approved/recorded toggles; security email independent,08B,M05 S04,AC56 AC57,Not started,
UI45,You / Settings,"FAQs, contextual help, recorded policy",Both,Glossary; MyPolicy; policy versions API,"Rewrite policy copy to agreed rules, preserve historical versions",08B,M05 F07,AC58,Not started,
UI46,Settings,Team roster/invites/resend/revoke/suspend/role/status,Admin,Settings; /api/staff and /api/auth/invitations,Preserve existing security; D10 for any new role,08A,S05 A09,AC02 AC03,Not started,
UI47,Settings,Shopify connection/scopes/sync/jobs/refresh/import support,Admin,DataPanel; /api/operations,"Real state, permission-gated actions, preserve shop-level import restrictions",08A,A09 W07 S06,AC16 AC59,Not started,
UI48,Settings,House codes/brand codes and unregistered code resolution,Admin,AddHouseCode; codes/operations services,Retain read-only Shopify verification and nonpayable house treatment,08A,A04 F15,AC05 AC53,Not started,
UI49,Settings,"Policy versions, audit activity, operations reference",Admin,Settings; policy/audit APIs,Keep authorized existing support paths; raw payment values not logged,08A,A09,AC02 AC58,Not started,
UI50,Home notices,Temporary hide / mute item / resolve / affected-record links,Admin,operations attention + new dismissal persistence,"Distinct outcomes, one vs several destinations, no Home work-queue redesign",08B,A10,AC60 AC61,Not started,
UI51,Cross-cutting,Loading/empty/retry/stale/validation/expired session/paging,Both,Shared client/components + actual API metadata,Truthful persistent outcomes on every implemented screen,All,S06 S07,AC06 AC49 AC59,Not started,
UI52,Retired paths,Reopen page and endpoint / old delivery carry workflow,Admin/backend,PayrollReopen; payroll reopen/service/carry logic,Remove active capability; keep immutable legacy evidence reachable,05B/09,F02 F07,AC34 AC62,Not started,
